               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.026741,            0.016531,           0.0034768,              0.8254,             0.70027,             0.76937,             0.49775,            0.029564,           0.0083637,           0.0028693,            0.007459,            0.007459,            0.007459
                  79,            0.026868,            0.016448,           0.0037147,             0.81068,             0.72657,              0.7658,             0.49562,            0.030029,           0.0085332,           0.0038506,            0.007426,            0.007426,            0.007426
                  80,            0.027021,            0.016614,           0.0038669,             0.78067,             0.73657,             0.77212,             0.49045,            0.029994,           0.0085774,           0.0030531,            0.007393,            0.007393,            0.007393
                  81,            0.027599,            0.016803,           0.0032944,             0.84263,             0.71841,             0.77722,             0.50354,            0.030406,            0.008651,           0.0028656,             0.00736,             0.00736,             0.00736
                  82,            0.027045,            0.016621,           0.0038607,             0.79938,             0.72449,             0.76645,             0.49609,            0.029953,           0.0086914,           0.0029733,            0.007327,            0.007327,            0.007327
                  83,            0.026088,            0.016506,           0.0038797,              0.8369,             0.71384,             0.77151,             0.50448,            0.030251,           0.0088432,           0.0032079,            0.007294,            0.007294,            0.007294
                  84,            0.026337,            0.016364,           0.0028352,             0.80754,              0.7157,              0.7774,              0.5101,             0.02927,           0.0085273,           0.0030471,            0.007261,            0.007261,            0.007261
                  85,            0.026454,            0.016718,           0.0042759,              0.8274,             0.72881,             0.77047,             0.50915,            0.031085,           0.0084096,           0.0033199,            0.007228,            0.007228,            0.007228
                  86,            0.025819,            0.016265,           0.0034786,             0.80696,             0.70894,             0.77735,             0.51397,            0.029091,           0.0083859,           0.0020291,            0.007195,            0.007195,            0.007195
                  87,            0.025872,            0.016465,           0.0031963,             0.84674,             0.70298,             0.77531,             0.50203,            0.030348,           0.0083492,           0.0029457,            0.007162,            0.007162,            0.007162
                  88,            0.026728,            0.016125,           0.0030763,             0.82627,             0.74264,              0.7895,             0.51139,             0.03009,           0.0086017,           0.0029523,            0.007129,            0.007129,            0.007129
                  89,            0.025716,            0.016082,           0.0031138,             0.83081,               0.721,              0.7885,             0.51602,            0.029128,           0.0085089,           0.0025024,            0.007096,            0.007096,            0.007096
